var1,var2
177.340000,1.131479
177.350000,0.648373
177.360000,0.305369
177.370000,0.162881
177.380000,0.173642
177.390000,0.343537
177.400000,0.715826
177.410000,1.205912
177.420000,1.605338
177.430000,1.803172
177.440000,1.834165
177.450000,1.716589
177.460000,1.402813
177.470000,0.928122
177.480000,0.484861
177.490000,0.230523
177.500000,0.158529
177.510000,0.230985
177.520000,0.485948
177.530000,0.929621
177.540000,1.404065
177.550000,1.717216
177.560000,1.834280
177.570000,1.802856
177.580000,1.604430
177.590000,1.204469
177.600000,0.714436
177.610000,0.342727
177.620000,0.173397
177.630000,0.163059
177.640000,0.306086
177.650000,0.649699
177.660000,1.132950
177.670000,1.552380
177.680000,1.774228
177.690000,1.821910
177.700000,1.723813
177.710000,1.435254
177.720000,0.970715
177.730000,0.508371
177.740000,0.223856
177.750000,0.128602
177.760000,0.178647
177.770000,0.403826
177.780000,0.825479
177.790000,1.306419
177.800000,1.644382
177.810000,1.782051
177.820000,1.766953
177.830000,1.591677
177.840000,1.213756
177.850000,0.720967
177.860000,0.322078
177.870000,0.124892
177.880000,0.093407
177.890000,0.210789
177.900000,0.524837
177.910000,0.997343
177.920000,1.434371
177.930000,1.681064
177.940000,1.746191
177.950000,1.666660
177.960000,1.403472
177.970000,0.952676
177.980000,0.474794
177.990000,0.160211
178.000000,0.040836
178.010000,0.069301
178.020000,0.265539
178.030000,0.662761
178.040000,1.146392
178.050000,1.508446
178.060000,1.668047
178.070000,1.669301
178.080000,1.516304
178.090000,1.162165
178.100000,0.670951
178.110000,0.247056
178.120000,0.021279
178.130000,0.031504
178.140000,0.061591
178.150000,0.345807
178.160000,0.804013
178.170000,1.255930
178.180000,1.528163
178.190000,1.611836
178.200000,1.550249
178.210000,1.312362
178.220000,0.878669
178.230000,0.389255
178.240000,0.045273
178.250000,0.099037
178.260000,0.091401
178.270000,0.077109
178.280000,0.448109
178.290000,0.930644
178.300000,1.315720
178.310000,1.498677
178.320000,1.516707
178.330000,1.385191
178.340000,1.056220
178.350000,0.570955
178.360000,0.124854
178.370000,0.129911
178.380000,0.204239
178.390000,0.134015
178.400000,0.120662
178.410000,0.561442
178.420000,1.025275
178.430000,1.323523
178.440000,1.427132
178.450000,1.383185
178.460000,1.170354
178.470000,0.756816
178.480000,0.260237
178.490000,0.111887
178.500000,0.281852
178.510000,0.294421
178.520000,0.152152
178.530000,0.191458
178.540000,0.669211
178.550000,1.075860
178.560000,1.283600
178.570000,1.319205
178.580000,1.208496
178.590000,0.905722
178.600000,0.430705
178.610000,0.034233
178.620000,0.317991
178.630000,0.414204
178.640000,0.365459
178.650000,0.139538
178.660000,0.281171
178.670000,0.753727
178.680000,1.078165
178.690000,1.203310
178.700000,1.177027
178.710000,0.988880
178.720000,0.598173
178.730000,0.099039
178.740000,0.299384
178.750000,0.495590
178.760000,0.527895
178.770000,0.410208
178.780000,0.094564
178.790000,0.374897
178.800000,0.801275
178.810000,1.035125
178.820000,1.089430
178.830000,0.999015
178.840000,0.723121
178.850000,0.262453
178.860000,0.217457
178.870000,0.529788
178.880000,0.648302
178.890000,0.619742
178.900000,0.421401
178.910000,0.022900
178.920000,0.455021
178.930000,0.805448
178.940000,0.953846
178.950000,0.945571
178.960000,0.781648
178.970000,0.416026
178.980000,0.080949
178.990000,0.503260
179.000000,0.726116
179.010000,0.777878
179.020000,0.683045
179.030000,0.395402
179.040000,0.062499
179.050000,0.506361
179.060000,0.767442
179.070000,0.841840
179.080000,0.771388
179.090000,0.522729
179.100000,0.080204
179.110000,0.410425
179.120000,0.750457
179.130000,0.891751
179.140000,0.882254
179.150000,0.710026
179.160000,0.335351
179.170000,0.144468
179.180000,0.520239
179.190000,0.693621
179.200000,0.703994
179.210000,0.563788
179.220000,0.225041
179.230000,0.265096
179.240000,0.708355
179.250000,0.958057
179.260000,1.029209
179.270000,0.955535
179.280000,0.695462
179.290000,0.252090
179.300000,0.206620
179.310000,0.495739
179.320000,0.591811
179.330000,0.541189
179.340000,0.319814
179.350000,0.101183
179.360000,0.598007
179.370000,0.964405
179.380000,1.128999
179.390000,1.137676
179.400000,0.989919
179.410000,0.640188
179.420000,0.161982
179.430000,0.237993
179.440000,0.437995
179.450000,0.467912
179.460000,0.350899
179.470000,0.040336
179.480000,0.438455
179.490000,0.899266
179.500000,1.175762
179.510000,1.266457
179.520000,1.212380
179.530000,0.979064
179.540000,0.552855
179.550000,0.082295
179.560000,0.235260
179.570000,0.354686
179.580000,0.323953
179.590000,0.129636
179.600000,0.266935
179.610000,0.765292
179.620000,1.156268
179.630000,1.344690
179.640000,1.370939
179.650000,1.245945
179.660000,0.921808
179.670000,0.448706
179.680000,0.026197
179.690000,0.201849
179.700000,0.252410
179.710000,0.158082
179.720000,0.123479
179.730000,0.586720
179.740000,1.061308
179.750000,1.364265
179.760000,1.474878
179.770000,1.439055
179.780000,1.231404
179.790000,0.824625
179.800000,0.345536
179.810000,0.000354
179.820000,0.144818
179.830000,0.134217
179.840000,0.033504
179.850000,0.403310
179.860000,0.898534
179.870000,1.311864
179.880000,1.524621
179.890000,1.568161
179.900000,1.464267
179.910000,1.165961
179.920000,0.701368
179.930000,0.258539
179.940000,0.001342
179.950000,0.071107
179.960000,0.001007
179.970000,0.253222
179.980000,0.697128
179.990000,1.181441
180.000000,1.510223
180.010000,1.641337
180.020000,1.622716
180.030000,1.439462
180.040000,1.054004
180.050000,0.569971
180.060000,0.196411
180.070000,0.025322
180.080000,0.015385
180.090000,0.157172
180.100000,0.498462
180.110000,0.986024
180.120000,1.419084
180.130000,1.656616
180.140000,1.717512
180.150000,1.633199
180.160000,1.360608
180.170000,0.907785
180.180000,0.447378
180.190000,0.160345
180.200000,0.064692
180.210000,0.115005
180.220000,0.337978
180.230000,0.759282
180.240000,1.249097
180.250000,1.602740
180.260000,1.755118
180.270000,1.753001
180.280000,1.592797
180.290000,1.230177
180.300000,0.744977
180.310000,0.345030
180.320000,0.145926
180.330000,0.114904
180.340000,0.231571
180.350000,0.543206
180.360000,1.018840
180.370000,1.468653
180.380000,1.731290
180.390000,1.809950
180.400000,1.743933
180.410000,1.496662
180.420000,1.058664
180.430000,0.583920
180.440000,0.266873
180.450000,0.146696
180.460000,0.175547
180.470000,0.369786
180.480000,0.765812
180.490000,1.256851
180.500000,1.634051
180.510000,1.808593
180.520000,1.822671
180.530000,1.684196
180.540000,1.345566
180.550000,0.863089
180.560000,0.438672
180.570000,0.210456
180.580000,0.157697
180.590000,0.250161
180.600000,0.531598
180.610000,0.991419
180.620000,1.454718
180.630000,1.742622
180.640000,1.839786
180.650000,1.791080
180.660000,1.568533
180.670000,1.148161
180.680000,0.662757
180.690000,0.316096
180.700000,0.170146
180.710000,0.177789
180.720000,0.344149
180.730000,0.712857
180.740000,1.200900
180.750000,1.600008
180.760000,1.797695
180.770000,1.828066
180.780000,1.710105
180.790000,1.396281
180.800000,0.920439
180.810000,0.474100
180.820000,0.216054
180.830000,0.140834
180.840000,0.210067
180.850000,0.461330
180.860000,0.901924
180.870000,1.375218
180.880000,1.688336
180.890000,1.805036
180.900000,1.773013
180.910000,1.574465
180.920000,1.174221
180.930000,0.682191
180.940000,0.306942
180.950000,0.134114
180.960000,0.120702
180.970000,0.260318
180.980000,0.600322
180.990000,1.081318
181.000000,1.500341
181.010000,1.722165
181.020000,1.769334
181.030000,1.670855
181.040000,1.382345
181.050000,0.916980
181.060000,0.451863
181.070000,0.163722
181.080000,0.065278
181.090000,0.112257
181.100000,0.333880
181.110000,0.752383
181.120000,1.232032
181.130000,1.570040
181.140000,1.707547
181.150000,1.691962
181.160000,1.516632
181.170000,1.138688
